positive,plus added commercials experience tacky
neutral,suicide leading cause death teens
negative,seriously pay flight seats playing bad flying va
positive,yes nearly time fly vx
neutral,stop permanently anytime soon
negative,flew nyc sfo week sit seat due gentleman
positive,pretty graphics minimal iconography
neutral,lax ewr middle seat red eye noob maneuver sendambien andchexmix
negative,fares times carriers seats available select
positive,thinking trip gone trip
neutral,hours operation club sfo posted online current
negative,guys messed seating reserved seating friends guys seat free internet
positive,flying fabulous seductive skies stress travel
neutral,rt vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience
negative,status match program applied weeks called emailed response
positive,excited cross country flight lax mco heard virgin america
neutral,plz help win bid upgrade flight
negative,happened ur vegan food ur site able eat hrs fail
positive,love hipster innovation feel brand
neutral,unused ticket moved city fly fly expires travelhelp
negative,amazing cold air vents vx358 noair worstflightever roasted sfotobos
positive,america start flights hawaii via
neutral,flights leaving dallas seattle time feb
negative,bked cool birthday trip add elevate cause entered middle name flight booking
positive,moodlighting experience cool calming moodlitmonday
neutral,night tribute soundofmusic oscars2015 agree
negative,help left expensive headphones flight iad lax seat answering
positive,view downtown los angeles hollywood sign beyond rain
neutral,flight supposed minutes ago website time flight thanks
negative,awaiting return phone call prefer online option
positive,congrats winning award deals airline
neutral,wish flew atlanta soon
negative,hey time flyer week hard time getting flights added elevate account help
positive,worried ride plane crew airlines
neutral,flights leaving dallas la february
negative,excited trying book week page loads
positive,awesome flew yall sat morning correct bill
neutral,julie andrews lady gaga night carrie meh
negative,called weeks ago adding flights shown
positive,applied inflight crew flightattendant dreampath
neutral,flight dal dca tried check status please
negative,heyy guyys trying hour call please
positive,amazing customer service raeann sf customerservice virginamerica flying
neutral,change reservation virgin credit card modify phone waive change fee online
negative,hi hold minutes earlier flights la nyc earlier
positive,getaway deals lots cool cities cheapflights farecompare
neutral,emailed customer service team tracking
negative,airline awesome lax loft step game dirty tables floors
positive,getaway deals lots cool cities cheapflights farecompare
neutral,hi booked flight add baggage
negative,customer service anyway speak human asap thank
positive,phl horrible cold pleasecomeback
neutral,watch student films country cmfat3500feet
negative,supp biz traveler customer service neverflyvirginforbusiness
